,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
761188,0.6971428571428572,0.035970575611780964,2.1083701238586594e-151,1.7711457411269967e-64,6.1123253625157715e-61,1.2809186515829132e-91,0.1527986924772537,1.1487767702051371e-293,2.1254016787407846e-141,2.3682064885706194e-188,1.0708609480999628e-183,HV,0
769773,19.65714285714286,2.1083701238586594e-151,0.04681441623615063,1.585356508454756e-50,2.4912364291930286e-38,8.15110761153979e-95,1.1487767702051371e-293,3.1499098660313404e-09,4.498917765419759e-87,7.617877849597918e-43,1.3274504919604148e-46,HV,1
772859,22.46857142857143,0.04681441623615063,9.090648352479828e-132,2.486717818404467e-89,1.5428660590243628e-05,1.51442190286518e-31,3.1499098660313404e-09,0.0,2.6036568923405377e-41,3.933378894496105e-109,6.11688111570832e-35,HV,1
772874,0.7542857142857143,9.090648352479828e-132,0.017052856072761597,7.036371008651669e-79,4.0256913065359385e-166,7.680214751084033e-123,0.0,2.4309117337362636e-05,4.435256589754992e-213,1.833773164962446e-291,9.13380829331248e-174,HV,0
761199,2.2057142857142855,0.017052856072761597,0.032880599210354994,7.373658989883804e-117,1.0193836577227488e-110,3.200084482610366e-160,2.4309117337362636e-05,0.020674032590160894,1.8106866794475053e-132,4.472494502690358e-187,1.5087121614676118e-240,HV,0
772889,0.8628571428571429,0.032880599210354994,0.23016878002722183,5.71718828516142e-156,1.5461688008670499e-152,7.16277097117804e-108,0.020674032590160894,0.00015714768834147752,1.5486900873616663e-208,0.0,2.7907853475261296e-158,HV,0
761214,0.8971428571428571,0.23016878002722183,0.9217103407647738,1.7894238610757708e-97,1.0949731014064324e-101,2.6053793139961503e-140,0.00015714768834147752,0.18840355625778354,7.680214751084033e-123,1.0253108078417894e-136,6.251253448101079e-269,HV,0
770407,0.9371428571428572,0.9217103407647738,0.9999999999981214,8.066966102341395e-133,7.805211225033674e-82,1.4385664800599457e-99,0.18840355625778354,0.8864502748249492,1.9596637712561834e-296,3.572866024358866e-174,5.71718828516142e-156,HV,0
761222,0.9428571428571428,0.9999999999981214,0.2962059151888016,7.19015749051903e-100,,6.362668781155011e-83,0.8864502748249492,0.006824887686101836,2.3606572537021996e-163,,5.085838847239581e-182,HV,0
768945,0.96,0.2962059151888016,0.8664595527727248,3.811367629686321e-79,4.14721524567681e-95,,0.006824887686101836,0.018785685435969146,3.152043639814141e-186,6.796299240696086e-158,,HV,0
761240,1.12,0.8664595527727248,0.9999052808922694,,2.1213148079730844e-110,7.19015749051903e-100,0.018785685435969146,0.06038438220919873,,5.332907563914907e-220,7.249098879760099e-178,HV,0
772919,0.9371428571428572,0.9999052808922694,,3.247873698996135e-103,,1.225769044330849e-112,0.06038438220919873,,8.835569379013595e-152,,2.8612744678216027e-202,HV,0
717632,0.7885714285714286,,5.591746572548141e-270,,1.8243690434956823e-220,1.5486900873616663e-208,,8.446337930300216e-266,,4.973882212017429e-271,4.554411427994178e-258,HV,0
764135,11.102857142857143,5.591746572548141e-270,1.0039398723963299e-263,7.6173408188488094e-118,1.7331283775534837e-28,6.9758583169458245e-37,8.446337930300216e-266,2.728122725986626e-283,3.27955105009041e-32,2.7484995530564215e-96,1.7156653161061562e-09,HV,1
761318,0.7657142857142857,1.0039398723963299e-263,3.799460545324572e-25,3.2372921792668398e-217,6.406377376529095e-278,4.63149641066545e-280,2.728122725986626e-283,1.7336732405619344e-26,2.2609471507219884e-284,0.0,0.0,HV,0
761322,1.062857142857143,3.799460545324572e-25,1.951375981714985e-29,7.837241273879194e-216,2.8449928231815202e-223,3.630851349884662e-212,1.7336732405619344e-26,7.842902353783126e-57,1.3270502041023173e-259,0.0,3.27308755844408e-282,HV,0
717643,4.468571428571429,1.951375981714985e-29,1.3887176363766209e-06,2.0333577013131045e-131,7.064913945288103e-116,5.29362156743503e-136,7.842902353783126e-57,1.2074297825951067e-28,3.4768056572623205e-90,1.0368406292643868e-211,1.2473956884458908e-176,HV,0
761325,1.302857142857143,1.3887176363766209e-06,0.936764764895171,3.853620772881156e-172,3.843722016983144e-164,8.051589481376065e-155,1.2074297825951067e-28,2.2977701529061706e-17,0.0,5.417726e-318,0.0,HV,0
761431,1.3428571428571427,0.936764764895171,1.0502462972849609e-13,8.835569379013595e-152,8.835569379013595e-152,5.71718828516142e-156,2.2977701529061706e-17,1.1388999168180717e-20,1.1487767702051371e-293,8.051589481376065e-155,2.466220462216828e-222,HV,0
761327,1.2,1.0502462972849609e-13,1.8155240481184734e-14,3.7963435940234603e-149,3.1689593633675366e-115,6.549591292435712e-147,1.1388999168180717e-20,1.0417779404046402e-15,1.5917265992209972e-279,1.8738115148748772e-177,2.202487532064504e-201,HV,0
773180,1.3257142857142856,1.8155240481184734e-14,0.9614336235619595,1.1962438780291467e-150,7.943519472931696e-202,7.458331104984108e-124,1.0417779404046402e-15,8.197949022515721e-14,2.202487532064504e-201,4.195272191941567e-238,1.330984552129605e-181,HV,0
761329,1.262857142857143,0.9614336235619595,3.947757311975326e-237,1.4126403017587551e-126,8.066966102341395e-133,1.2355679793344878e-207,8.197949022515721e-14,1.42527e-318,1.780075201087822e-251,5.583753806669617e-252,1e-323,HV,0
717665,14.588571428571429,3.947757311975326e-237,5.071296600681593e-242,1.35114157357521e-29,1.51442190286518e-31,1.9822407816041786e-145,1.42527e-318,0.0,9.983814534581747e-08,7.183284994851445e-11,4.814958977458319e-32,HV,1
717670,1.5485714285714285,5.071296600681593e-242,0.9710546224706207,7.24388920809629e-139,2.0146027390698107e-197,4.435256589754992e-213,0.0,5.0278072458442205e-15,1.1452485010075636e-273,0.0,0.0,HV,0
