counterid,day_type,month,day_part,sfmta_count
28,weekend,August,peak_pm,64.125
28,weekend,September,peak_pm,66.875
28,weekend,October,peak_pm,78.25
28,weekend,November,peak_pm,43.875
28,weekend,December,peak_pm,46.625
24,weekday,January,late_pm,17.1
24,weekday,February,late_pm,26.3
24,weekday,March,late_pm,30
24,weekday,April,late_pm,34.5
24,weekday,May,late_pm,30.8
24,weekday,June,late_pm,30.4
24,weekday,July,late_pm,23.5
24,weekday,August,late_pm,29.8
24,weekday,September,late_pm,33.5
24,weekday,October,late_pm,25.2
24,weekday,November,late_pm,20.5
24,weekday,December,late_pm,13.7
24,weekday,January,early_am,28.8333333333333
24,weekday,February,early_am,30.25
24,weekday,March,early_am,34.4166666666667
24,weekday,April,early_am,36.8333333333333
24,weekday,May,early_am,48.75
24,weekday,June,early_am,55.9166666666667
24,weekday,July,early_am,46
24,weekday,August,early_am,53.4166666666667
24,weekday,September,early_am,42
24,weekday,October,early_am,42.9166666666667
24,weekday,November,early_am,48.3333333333333
24,weekday,December,early_am,28.75
24,weekday,January,peak_am,207.75
24,weekday,February,peak_am,245.75
24,weekday,March,peak_am,302.5
24,weekday,April,peak_am,277
24,weekday,May,peak_am,296.25
24,weekday,June,peak_am,303.125
24,weekday,July,peak_am,284
24,weekday,August,peak_am,335.625
24,weekday,September,peak_am,320.75
24,weekday,October,peak_am,289.25
24,weekday,November,peak_am,283.625
24,weekday,December,peak_am,229.5
24,weekday,January,mid,96.3
24,weekday,February,mid,103.5
24,weekday,March,mid,120.4
24,weekday,April,mid,112.1
24,weekday,May,mid,132.7
24,weekday,June,mid,122.3
24,weekday,July,mid,113.6
24,weekday,August,mid,125
24,weekday,September,mid,144.2
24,weekday,October,mid,130.7
24,weekday,November,mid,129.9
24,weekday,December,mid,112.5
24,weekday,January,peak_pm,95.25
24,weekday,February,peak_pm,117.625
24,weekday,March,peak_pm,153.125
24,weekday,April,peak_pm,156.5
24,weekday,May,peak_pm,161.5
24,weekday,June,peak_pm,139
24,weekday,July,peak_pm,130.375
24,weekday,August,peak_pm,159.5
24,weekday,September,peak_pm,164.375
24,weekday,October,peak_pm,149.375
24,weekday,November,peak_pm,115.25
24,weekday,December,peak_pm,76.75
24,weekend,January,late_pm,3.8
24,weekend,February,late_pm,4.5
24,weekend,March,late_pm,2.8
24,weekend,April,late_pm,7
24,weekend,May,late_pm,8.1
24,weekend,June,late_pm,8
24,weekend,July,late_pm,9.7
24,weekend,August,late_pm,6.7
24,weekend,September,late_pm,7.4
24,weekend,October,late_pm,7.2
24,weekend,November,late_pm,3.5
24,weekend,December,late_pm,5.8
24,weekend,January,early_am,5.25
24,weekend,February,early_am,5.33333333333333
24,weekend,March,early_am,3.5
24,weekend,April,early_am,6.16666666666667
24,weekend,May,early_am,7.5
24,weekend,June,early_am,8
24,weekend,July,early_am,10.6666666666667
24,weekend,August,early_am,7.25
24,weekend,September,early_am,5.83333333333333
24,weekend,October,early_am,6.16666666666667
24,weekend,November,early_am,5.58333333333333
24,weekend,December,early_am,6
24,weekend,January,peak_am,67.625
24,weekend,February,peak_am,84.5
24,weekend,March,peak_am,61.75
24,weekend,April,peak_am,95.5
24,weekend,May,peak_am,95.625
24,weekend,June,peak_am,99.875
24,weekend,July,peak_am,102.25
24,weekend,August,peak_am,83.875
24,weekend,September,peak_am,106.875
24,weekend,October,peak_am,99.625
24,weekend,November,peak_am,74.25
24,weekend,December,peak_am,86.625
24,weekend,January,mid,71.3
24,weekend,February,mid,74.7
24,weekend,March,mid,61.4
24,weekend,April,mid,96.6
24,weekend,May,mid,77.6
24,weekend,June,mid,83.3
24,weekend,July,mid,90
24,weekend,August,mid,78.2
24,weekend,September,mid,94.8
24,weekend,October,mid,106.2
24,weekend,November,mid,62.4
24,weekend,December,mid,80.3
24,weekend,January,peak_pm,23.875
24,weekend,February,peak_pm,27
24,weekend,March,peak_pm,22.625
24,weekend,April,peak_pm,37.875
24,weekend,May,peak_pm,36.625
24,weekend,June,peak_pm,42.5
24,weekend,July,peak_pm,46.5
24,weekend,August,peak_pm,40.875
24,weekend,September,peak_pm,40.125
24,weekend,October,peak_pm,41
24,weekend,November,peak_pm,21
24,weekend,December,peak_pm,21
40,weekday,January,late_pm,178.1
40,weekday,February,late_pm,276.6
40,weekday,March,late_pm,315.4
40,weekday,April,late_pm,303.5
40,weekday,May,late_pm,319.1
40,weekday,June,late_pm,298.2
40,weekday,July,late_pm,281.9
40,weekday,August,late_pm,318.8
40,weekday,September,late_pm,292.9
40,weekday,October,late_pm,286.9
40,weekday,November,late_pm,258.1
40,weekday,December,late_pm,187.7
40,weekday,January,early_am,33.8333333333333
40,weekday,February,early_am,42.0833333333333
40,weekday,March,early_am,55.0833333333333
40,weekday,April,early_am,49.5833333333333
40,weekday,May,early_am,50.0833333333333
40,weekday,June,early_am,51.4166666666667
40,weekday,July,early_am,43.75
40,weekday,August,early_am,54.75
40,weekday,September,early_am,50.3333333333333
40,weekday,October,early_am,51.25
40,weekday,November,early_am,55.4166666666667
40,weekday,December,early_am,44.0833333333333
40,weekday,January,peak_am,395.625
40,weekday,February,peak_am,575.625
40,weekday,March,peak_am,494.5
40,weekday,April,peak_am,643.5
40,weekday,May,peak_am,560.75
40,weekday,June,peak_am,489
40,weekday,July,peak_am,671
40,weekday,August,peak_am,650
40,weekday,September,peak_am,575.2
40,weekday,October,peak_am,666.833333333333
40,weekday,November,peak_am,710.375
40,weekday,December,peak_am,525.375
40,weekday,January,mid,197.6
40,weekday,February,mid,297.9
40,weekday,March,mid,373.2
40,weekday,April,mid,394.1
